Name,Price,Category,Duration,Description
Make you better,120,,45,
Ladies Style Cut and Blow Dry - Art Director,135,Style Cut and Blow Dry Finish,45,
Ladies Style Cut and Blow Dry Finish - Senior Stylist,95,Style Cut and Blow Dry Finish,60,
Ladies Style Cut and Blow Dry Finish - Stylist,75,Style Cut and Blow Dry Finish,60,
Fringe Trim,0,Style Cut and Blow Dry Finish,5,
Boys Cut 14 yrs - Art Director,35,Style Cut and Blow Dry Finish,30,
Boys Cut 14 yrs - Senior Stylist,30,Style Cut and Blow Dry Finish,30,
Boys Cut 14 yrs - Stylist,25,Style Cut and Blow Dry Finish,30,
Girls Cut 14 yrs - Art Director,70,Style Cut and Blow Dry Finish,30,
Girls Cut 14 yrs - Senior Stylist,50,Style Cut and Blow Dry Finish,30,
Girls Cut 14 yrs - Stylist,40,Style Cut and Blow Dry Finish,45,
Gents Cut - Art Director,65,Barber Services,30,
Gents Cut - Senior Stylist,45,Barber Services,30,
Gents Cut - Stylist,35,Barber Services,45,
Gents Beard Trim,20,Barber Services,5,
Gents Clipper Cut Only,30,Barber Services,10,
Long Hair Wash and Blow Dry - Art Director,80,Wash and Blow Dry,45,
Short Hair Wash and Blow Dry - Art Director,70,Wash and Blow Dry,30,
Long Hair Wash and Blow Dry - Senior Stylist,70,Wash and Blow Dry,45,
Short Hair Wash and Blow Dry - Senior Stylist,60,Wash and Blow Dry,30,
Long Hair Wash and Blow Dry - Stylist,60,Wash and Blow Dry,45,
Short Hair Wash and Blow Dry - Stylist,50,Wash and Blow Dry,30,
Bridal and Formal Upstyle - Art Director,119,Artistic Styling,45,
Bridal and Formal Upstyle - Senior Stylist,109,Artistic Styling,60,
Root Retouch - Art Director,0,Colour,15,
Root Retouch - Senior Stylist,0,Colour,20,
Root Retouch - Stylist,0,Colour,20,
Full Head Colour - Art Director,0,Colour,30,
Full Head Colour - Senior Stylist,0,Colour,30,
Full Head Colour - Stylist,0,Colour,30,
Root Retouch (Rebook in 4 weeks) - Art Director,75,Colour,15,Not available for online bookings
Root Retouch (Rebook in 4 weeks) - Senior Stylist,75,Colour,20,Not available for online bookings
Root Retouch (Rebook in 4 weeks) - Stylist,75,Colour,20,Not available for online bookings
Toner,0,Colour,10,
Full Head of Foils - Art Director,185,Colour,45,
Full Head of Foils - Senior Stylist,165,Colour,60,
Full Head of Foils - Stylist,145,Colour,90,
1/2 Head of Foils - Art Director,135,Colour,30,
1/2 Head of Foils - Senior Stylist,125,Colour,35,
1/2 Head of Foils - Stylist,105,Colour,60,
1/4 Head of Foils - Art Director,95,Colour,20,
1/4 Head of Foils - Senior Stylist,85,Colour,20,
1/4 Head of Foils - Stylist,75,Colour,30,
Feature Foils - Art Director,70,Colour,15,
Feature Foils - Senior Stylist,60,Colour,10,
Feature Foils - Stylist,50,Colour,10,
Half Head,0,Perming,120,
Full Head,0,Perming,150,
Rebond,0,Straightening,180,
Rebond Regrowth Only,0,Straightening,120,
Hot Towel Elixir Boost and Moisturising Spa Treatment,35,Treatments,15,
Hot Towel Moisturising Spa Treatment,20,Treatments,10,
Conditioning Mask Treatment,10,Treatments,5,
Fashion Braids,20,Artistic Styling,30,
GHD Irons or Curls,49,Artistic Styling,30,
Hair Extensions,499,Extensions,60,
Colour Correction,,Colour,60,
Yoga with Michael,30,,55,
Test,100,,45,
Post covid-19 Product Pack,,Multi Staff Services,5,
Touch-up,80,,45,
Tattoo,0,,120,
Consultation,0,,30,